단속건수,위도,경도,대표_단속동,대표_장소
113459,36.8150678816279,127.113911972591,,천안시
7165,36.8278572982784,127.141230509706,성정동,천안시 성정동 성정공원5로
6542,36.7773402128221,127.143004573542,청당동,천안시 청당동 청당하나로마트
3678,36.8385972094226,127.118027596969,차암동,천안시 차암동 3공단5로
3065,36.830484093184,127.117663150263,백석동,천안시 백석동 한들1로
2738,36.8063409159124,127.106095662518,불당동,천안시 불당동 불당34길
2308,36.814794858256604,127.10810615956696,불당동,천안시 불당동 불당 제5공영주차장
1986,36.80293068422576,127.14979680259778,영성동,천안시 영성동 중앙시장
1955,36.8398270878098,127.129824470245,성성동,천안시 성성동 731번지
1896,36.78393428469682,127.1554452686956,청당동,천안시 청당동 동천안 우체국
1839,36.8122419095297,127.106723999162,불당동,천안시 불당동 불당25로
1762,36.8272102223137,127.139312778396,성정동,천안시 성정동 성정공원1길
1736,36.8303319563123,127.13625709253,성정동,천안시 성정동 오성로
1678,36.83874651664568,127.11739665580242,성성동,천안시 성성동 3공단2로
1652,36.8317445186752,127.141665757941,두정동,천안시 두정동 1812번지
1515,36.8323105294915,127.141720048647,두정동,천안시 두정동 두정상가8길
1487,36.78606913007452,127.15673794425751,청당동,천안시 청당동 162-10번지
1434,36.7844402100796,127.160303878509,청당동,천안시 청당동 청수13로
1302,36.8185335209659,127.105646240244,불당동,천안시 불당동 불당23로
1259,36.82381762176617,127.11108802638836,성성동,천안시 성성동 백석공단1로
1235,36.81973607802637,127.15633919280238,신부동,천안시 신부동 터미널
1193,36.8223443721663,127.107090083349,불당동,천안시 불당동 불당24로 불당25로
1190,36.7853362650549,127.156797956466,청당동,천안시 청당동 551
1106,36.7727981193741,127.209601992999,목천읍,천안시 목천읍 목천 상가
1072,36.8100306482139,127.145350385317,와촌동,천안시 와촌동 천안서부역광장
1020,36.8278517230046,127.141220747409,성정동,천안시 성정동 1549번지
1012,36.7830953982837,127.156094452986,청당동,천안시 청당동 청당 롯데시네마
948,36.8598661393091,127.151298376306,두정동,천안시 두정동 천안대로
888,36.8097797855553,127.143639221005,와촌동,천안시 와촌동 천안천4길
880,36.81930057800866,127.1028335236128,불당동,천안시 불당동 불당23로 불당25로
877,36.82969114482775,127.1407726085814,성정동,천안시 성정동 프라지움5차
874,36.8384452103302,127.122202265722,백석동,천안시 백석동 삼성대로
852,36.8069461144215,127.110340624859,불당동,천안시 불당동 불당4로
802,36.8107249037557,127.109875139362,불당동,천안시 불당동 680번지
775,36.8176201797669,127.158790621243,신부동,천안시 신부동 충절로 17
765,36.8338170319897,127.134477612825,두정동,천안시 두정동 두정로
761,36.7833435412622,127.153690618783,청당동,천안시 청당동 청수11로 13-11
738,36.7992819097909,127.164912080201,신부동,천안시 신부동 천안대로
723,36.84185666009466,127.12407549591244,성성동,천안시 성성동 성성6로 꽃마루유치원
720,36.817531582936,127.159342867979,신부동,천안시 신부동 시민회관
712,36.839973343095,127.114376487135,성성동,천안시 성성동 3공단5로
697,36.81730954960603,127.16028161403912,신부동,천안시 신부동 신안동 행정복지센터
696,36.8341845212519,127.121308874916,백석동,천안시 백석동 1141번지
691,36.8427719304848,127.152210937846,두정동,천안시 두정동 이편한세상 4차 정문
675,36.79252570362066,127.15109302457138,청수동,천안시 청수동 청수금호어울림
661,36.8119316169431,127.139952910621,성정동,천안시 성정동 양지9길8
652,36.806738255973,127.119272994895,쌍용동,천안시 쌍용동 봉서산샛길
649,36.81912646944916,127.11009606450556,성성동,천안시 성성동 번영로
630,36.838635400320456,127.12813982292224,성성동,천안시 성성동 418-1번지
609,36.8125053122023,127.131216293148,봉명동,천안시 봉명동 봉서초등학교
605,36.8191007470086,127.113305208572,불당동,천안시 불당동 20번지
603,36.8288601273889,127.123516791514,백석동,천안시 백석동 한들3로
592,36.80744008688416,127.1445027766518,와촌동,천안시 와촌동 신동아파밀리에
587,36.8353498668594,127.114270839781,백석동,천안시 백석동 730번지
579,36.77510540076453,127.133746806511,신방동,천안시 신방동 신방통정 새마을금고
575,36.8008876525931,127.128404104799,쌍용동,천안시 쌍용동 미라초등학교
562,36.8141118304544,127.10809107797,불당동,천안시 불당동 1879번지
545,36.818948269928,127.14515440726,와촌동,천안시 와촌동 축구센터로
542,36.8036935504667,127.111885935453,불당동,천안시 불당동 불당11로
539,36.8041078035743,127.13409451551,봉명동,천안시 봉명동 천안여상로 44
531,36.8190835118097,127.156463394808,신부동,천안시 신부동 터미널버스승강장
529,36.8150581499617,127.142948060558,성정동,천안시 성정동 성정
525,36.8190510772912,127.102918594583,불당동,천안시 불당동 1867번지
522,36.8216762274527,127.124375238032,백석동,천안시 백석동 874번지
517,36.821854728057,127.14409947161,성정동,천안시 성정동 축구센터로 봉정로
515,36.8177851375676,127.159490327589,신부동,천안시 신부동 신부2길 12
510,36.8141797344129,127.107737696368,불당동,천안시 불당동 불당25로 리치타워
507,36.8071919368579,127.114160289657,불당동,천안시 불당동 봉서산로
497,36.8422402494713,127.186400011139,안서동,천안시 안서동 백석대학교 후문
478,36.8405589528792,127.129919095833,성성동,천안시 성성동 730번지
474,36.84042522522582,127.1270878454258,성성동,천안시 성성동 성성레이크타운3차
472,36.793878535979886,127.12354766535633,쌍용동,천안시 쌍용동 쌍용역 계룡아파트
472,36.8318935215042,127.130357655168,두정동,천안시 두정동 1766번지
468,36.79819955732316,127.1590428599183,신부동,천안시 신부동 충절로
467,36.8373966024536,127.114684978948,차암동,천안시 차암동 414번지
460,36.79734099434766,127.12490676669432,쌍용동,천안시 쌍용동 쌍용역 시영2차 아파트
455,36.8106159365509,127.105013274179,불당동,천안시 불당동 1901번지
444,36.8068091725208,127.105545300236,불당동,천안시 불당동 1938번지
432,36.8157769718718,127.106011066471,불당동,천안시 불당동 불당26로
424,36.7909280537633,127.132151983768,신방동,천안시 신방동 신용초등학교
417,36.8099954760398,127.103004866895,불당동,천안시 불당동 1926번지
407,36.8359287082793,127.135884294948,두정동,천안시 두정동 1786번지
406,36.8339034322116,127.138803979823,두정동,천안시 두정동 두정로 성정두정로
406,36.8225440416768,127.159648042391,신부동,천안시 신부동 신부초등학교 정문
401,36.7896578017044,127.11994674489895,신방동,천안시 신방동 신방삼일원앙아파트
389,36.7965146571708,127.132257604151,쌍용동,천안시 쌍용동 새말4길
388,36.8403315037501,127.121138084479,성성동,천안시 성성동 903번지
381,36.7930151308771,127.12263672377,쌍용동,천안시 쌍용동 충무로
378,36.8287869410994,127.143139495906,성정동,천안시 성정동 1550번지
369,36.8103414884906,127.105284773984,불당동,천안시 불당동 1910번지
369,36.8187391907392,127.139219080702,성정동,천안시 성정동 762번지
368,36.8053822761039,127.135023135879,봉명동,천안시 봉명동 봉명초등학교
360,36.8309236394097,127.121881474332,백석동,천안시 백석동 1036번지
353,36.8168018898192,127.140297557794,성정동,천안시 성정동 779번지
350,36.8088341259079,127.136082606058,봉명동,천안시 봉명동 세중아유치원
346,36.7837835865571,127.154570695543,청당동,천안시 청당동 953
345,36.7735534112013,127.21655783482,목천읍,천안시 목천읍 신흥초등학교
343,36.8112637015705,127.107681834612,불당동,천안시 불당동 1904번지
341,36.7810584819037,127.155365524811,청당동,천안시 청당동 남부대로 346
322,36.8036396922328,127.138018952222,봉명동,천안시 봉명동 천안여상로 53
