단속일자,단속시간,단속동,단속장소,주소_정리,위도,경도
2024-01-26,14:41,불당동,1486,1486,,
2024-01-26,14:42,성정동,서초등학교 정문 주변,서초등학교 정문,,
2024-01-26,14:43,사직동,남산공원주차장,남산공원주차장,,
2024-01-26,14:43,성정동,성정두정로 오성로,성정두정로 오성로,,
2024-01-26,14:45,성황동,성황동 2-31,성황동 2-31,,
2024-01-26,14:45,성황동,북중학교 앞,북중학교 앞,,
2024-01-26,14:45,성정동,프라지움5차(성정공원),프라지움5차,,
2024-01-26,14:45,불당동,1530,1530,,
2024-01-26,14:50,신부동,신부문화공원10길,신부문화공원10길,,
2024-01-26,14:50,신방동,풍세로 656 부근,풍세로 656,36.7704240749041,127.134967636473
2024-01-26,14:50,불당동,1530,1530,,
2024-01-26,14:51,성정동,성정공원1길,성정공원1길,36.8272102223137,127.139312778396
2024-01-26,14:52,영성동,중앙시장(국민은행),중앙시장,,
2024-01-26,14:52,성성동,성성8로 근린공원 사거리,성성8로 근린공원 사거리,,
