grid_id,row,col,sub_row,sub_col,min_lon,min_lat,max_lon,max_lat,centroid_lon,centroid_lat,public_count,private_count,facilities_count,traffic_sum,traffic_sum_imputed,enforcement_sum,score_facilities,score_traffic,score_enforcement,congestion_score_raw,congestion_score,congestion_score_100,congestion_score_100_local
g39_sr0sc0,5,6,0,0,127.19555484063022,36.74752104099687,127.19877271012133,36.750110567443535,127.197163801521,36.748815810107345,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g39_sr0sc1,5,6,0,1,127.1987132824548,36.747568904085234,127.20193105533102,36.75015835115488,127.20032219503814,36.74886363350914,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g39_sr0sc2,5,6,0,2,127.20187173173039,36.7476166834025,127.20508940797771,36.75020605108681,127.20348059599932,36.748911373135705,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g39_sr0sc3,5,6,0,3,127.20503018844394,36.74766437894807,127.20824776804835,36.75025366723873,127.2066390043914,36.74895902898639,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g39_sr0sc4,5,6,0,4,127.20818865258241,36.74771199072132,127.21140613552991,36.750301199610014,127.20979742020145,36.74900660106061,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g39_sr0sc5,5,6,0,5,127.21134712413276,36.74775951872164,127.21456451040936,36.75034864820004,127.21295584341635,36.749054089357735,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g39_sr0sc6,5,6,0,6,127.21450560308197,36.747806962948395,127.21772289267369,36.750396013008185,127.21611427402311,36.74910149387715,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g39_sr0sc7,5,6,0,7,127.217664089417,36.74785432340098,127.22088128230985,36.750443294033865,127.21927271200872,36.74914881461823,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g39_sr0sc8,5,6,0,8,127.22082258312483,36.747901600078784,127.22403967930477,36.75049049127644,127.22243115736012,36.74919605158037,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g39_sr0sc9,5,6,0,9,127.22398108419237,36.74794879298118,127.22719808364548,36.7505376047353,127.22558961006428,36.74924320476296,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
